Episode;Steps;Total_Rewards
1;110;-345.3526922592479
2;84;-136.0746835106421
3;68;-101.07670565876393
4;64;-78.1649772459298
5;115;3.2109026925041775
6;74;-64.08215945833865
7;117;-243.40816248343646
8;121;-253.34646601652815
9;101;-145.0681798692139
10;151;-349.2326543246738
11;104;-78.2458052948623
12;89;-59.95960679483119
13;60;-144.08488292309758
14;78;-300.8505341869081
15;90;-203.19119812085324
16;91;-312.15858937695776
17;67;-92.95046100465443
18;78;-219.2104655971994
19;106;-166.12124431525433
20;87;-85.22494947745083
21;107;-32.96747888171899
22;98;-88.29757092552747
23;84;-135.35107869917277
24;94;-267.4087650927829
25;112;-209.19362541976
26;71;-73.00567939242671
27;107;-134.02590669899735
28;99;-216.2062757456216
29;122;-174.11621904890796
30;91;-144.55716276145452
31;147;-0.6546793037301626
32;92;-113.19212936746183
33;186;-305.1196603571001
34;120;-101.88901083137713
35;71;-111.18279405914102
36;119;-133.25013780714568
37;109;-112.51635364487092
38;65;-89.68331694235388
39;119;-147.96159675278602
40;101;-115.07990806834442
41;64;-75.73259290751591
42;142;-76.78560589243733
43;87;-53.52929336958822
44;93;-79.79693773189065
45;90;-147.05083336111335
46;125;-67.17309694487801
47;81;-18.316420584211002
48;127;-124.69646580730594
49;86;-119.75165287323497
50;104;-91.62233863003348
51;130;-85.71093546537892
52;126;-107.52968018626872
53;101;-92.74830101094746
54;138;-31.13617581921325
55;88;-130.07234828958337
56;109;-66.49444696862021
57;124;-66.75503413215979
58;105;-112.71890121603278
59;70;-54.22399936118704
60;116;-139.45347608705947
61;126;-99.67581338154889
62;108;-32.279317827132715
63;176;-58.85932837948009
64;138;-36.366682399288855
65;91;-76.93512078436959
66;87;-62.45187196179111
67;164;-8.556478853492806
68;149;-230.70247896316204
69;138;-18.214006993922496
70;124;-101.35590328722759
71;82;4.358279534687981
72;90;-102.2166065249656
73;148;-24.45764720003281
74;145;-124.38552435754386
75;118;-97.44960686198844
76;99;-102.82734359602975
77;120;-50.90916806055955
78;116;-38.64457482923498
79;114;4.989822189342476
80;135;-45.568261776383636
81;131;-55.34518538804752
82;178;-116.06997539742434
83;58;-46.93440524237421
84;150;11.140895854240952
85;110;-59.232918348414614
86;90;-48.75413255360701
87;77;-57.549584563774175
88;93;-26.183140965551033
89;125;-84.45391217965476
90;169;-35.05816243642886
91;73;-26.364510454078726
92;154;-50.85546324716568
93;86;-87.92584084736673
94;178;-89.17296508484964
95;70;-72.67691476266317
96;98;-93.01725023309446
97;175;-61.382489942285765
98;160;-65.9544191952366
99;115;-3.230022385669443
100;157;-21.803569702391016
101;184;13.13650387375732
102;70;-65.28362508514874
103;122;-4.657386253047164
104;204;-60.831465102985874
105;118;-212.40394739412596
106;156;-50.264604045230996
107;146;-36.51460104928732
108;199;-43.38716469333353
109;113;-65.59726741444939
110;181;-12.533373959367125
111;89;-24.127903656406872
112;80;-56.77036569319908
113;93;-39.48798425877548
114;122;-50.32178400530226
115;128;-29.468105944743996
116;167;36.70086008993965
117;156;-63.41005736073581
118;267;-107.80530173030047
119;62;-42.94051219864975
120;127;-0.28676535191289076
121;159;-18.20926209464089
122;203;-90.27698171418965
123;678;-40.648364188175705
124;97;-51.867095911281
125;321;-43.815716285794224
126;799;7.7450645720211435
127;96;-46.47435487988545
128;191;-68.9812392978026
129;115;15.96855987464535
130;193;-50.317496045867394
131;799;88.70989301425142
132;145;-30.402176191548904
133;309;-7.442739800322741
134;162;-49.14186045524683
135;93;13.503900413997826
136;120;-44.88521100059018
137;223;-6.278156123725083
138;227;-58.296623684647
139;176;-25.098391470441044
140;139;-10.593978843355089
141;138;-106.75613864905897
142;301;-72.1310978189089
143;199;39.65757264807152
144;133;-24.95123029411947
145;113;-98.41674348315414
146;91;-78.00397007611471
147;799;59.02611328328783
148;799;88.22784861914523
149;799;88.8555708265898
150;159;-23.13031430454143
151;237;-5.293364610665876
152;799;82.61290195151781
153;70;-47.50167599593361
154;233;2.0605478314574412
155;799;112.9030863462679
156;799;115.98829956355061
157;176;36.39091346842474
158;125;-46.54923804117949
159;377;-105.77894825272607
160;605;-84.09036452223941
161;609;-63.12725241813401
162;799;140.84746194592427
163;799;88.0999459078541
164;267;-33.19977610087173
165;799;96.3413549885598
166;799;-24.914599933363327
167;94;-26.333136585088326
168;158;21.38720929796895
169;320;-12.747249961057705
170;274;-49.007147199028154
171;799;101.96724973197065
172;799;1.8722996525886868
173;799;66.01363232436071
174;799;55.770302067389835
175;799;79.40721825829901
176;799;-71.8564734743738
177;799;75.60057792037422
178;799;63.31508185015919
179;799;72.595222258115
180;799;57.70691498333956
181;799;63.17017761729634
182;799;75.2277172698318
183;799;54.4793623041215
184;799;108.6376971110952
185;799;0.8440117520823378
186;799;68.90399601617094
187;799;-55.072131463401504
188;799;19.436085736225746
189;799;37.2740541705834
190;799;19.07806568947566
191;603;-176.97183136712343
192;799;-5.68707748672184
193;799;62.15985054289505
194;799;56.92446381329812
195;799;76.67898074961289
196;799;-58.512197011619
197;799;-0.007344251699284321
198;799;73.86859950788038
199;218;-49.26073176723047
200;799;17.496047851914426
201;799;-67.2312913086398
202;799;-2.071359843982132
203;799;-0.04892352391937144
204;799;-46.46265989858793
205;799;22.71861223434831
206;799;19.52375565400751
207;799;-15.116158716878296
208;235;-30.46680210874179
209;799;119.14016129655899
210;799;29.26736892069405
211;799;-2.6867566023564784
212;799;1.304960758490176
213;799;16.75208665907398
214;799;-13.163653417520823
215;799;-58.07933214313094
216;799;-29.23864467885602
217;799;0.047589315604933624
218;799;100.35925305854452
219;799;-9.142992802203922
220;799;150.76389570244314
221;799;-31.41528423412811
222;799;-39.7161170122186
223;799;-69.7426051718861
224;799;42.44323103680101
225;799;-27.579517862902158
226;799;22.269736323955794
227;799;-10.986150242842887
228;799;-53.593231596846664
229;799;-38.36107659375512
230;799;-3.8465944864037365
231;799;26.711911522007068
232;799;142.15484738365262
233;700;-90.48223620017401
234;799;-29.41560547508601
235;799;-27.344194539566022
236;799;-24.16928040728048
237;799;-45.9122397256764
238;799;56.33425960188136
239;799;-29.045583235164216
240;799;-38.90293499024348
241;799;-10.008656003413531
242;799;39.41524998570574
243;799;0.8522316746256311
244;799;-8.186177655915667
245;799;-44.085324238178195
246;799;8.394985069603138
247;799;33.70510514157423
248;799;76.73006190744155
249;799;-26.848911820249928
250;799;40.263829545812264
251;799;-60.31763969544997
